source_path,decision,curation_reason,metadata_status,license_review_status
SaintJeromeWriting.jpg,include,identified artwork,incomplete,pending
SchoolOfAthens.jpg,include,identified artwork,incomplete,pending
Screenshot 2025-09-29 at 8.43.49 PM.png,exclude,screenshot or editorial graphic,incomplete,pending
SocratesEating.png,exclude,AI-generated or unidentified image,incomplete,pending
SocratesPondering.png,exclude,AI-generated or unidentified image,incomplete,pending
Sublime.jpeg,include,identified artwork,incomplete,pending
Sublime.webp,exclude,duplicate copy,incomplete,pending
TheChariot.png,exclude,Midjourney source metadata,incomplete,rejected
TheColossusGoya.jpg,include,identified artwork,incomplete,pending
TheDesperateMan.jpg,include,identified artwork,incomplete,pending
TheProgressOfLove.jpg,include,identified artwork,incomplete,pending
TheRejectedPoet.jpg,include,identified artwork,incomplete,pending
TheSowerVanGogh.jpg,include,identified artwork,incomplete,pending
TheThinkerRodin.jpg,include,identified sculpture,incomplete,pending
TreeSeedsGhibli.png,exclude,AI-generated or copyrighted-style illustration,incomplete,pending
TrialOfGalileo.png,include,identified artwork,incomplete,pending
TruthLeavingTheWell.jpg,include,identified artwork,incomplete,pending
Tvs.png,exclude,photograph or editorial image,incomplete,pending
Westward.png,include,identified artwork,incomplete,pending
WingedHorse.png,exclude,Midjourney source metadata,incomplete,rejected
Wizard.png,exclude,Midjourney source metadata,incomplete,rejected
You're not seeing (31).jpeg,exclude,editorial graphic,incomplete,pending
You're not seeing (32).jpeg,exclude,duplicate editorial graphic,incomplete,pending
Relativity_files/,exclude,web-page support assets and thumbnails,incomplete,pending
HypnoseRainbow*.jpg/,exclude,edited derivative working folders pending provenance and duplicate review,incomplete,pending
*.mp4,exclude,media files are outside the initial artwork catalog,incomplete,pending
non-image files,exclude,non-image files are outside the initial artwork catalog,incomplete,pending
